id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
399407754,2016-03-13 11:28:00+00:00,eng,0.4,http://www.ettelaat.com/index2.asp?code=endisplay&fname=%2Fettelaat%2Fetbupload%2Fdata%2F2016%2F03%2F03-13%2F4.htm&title=Putin%2520signs%2520decree%2520on%2520UN%2520Iran%2520resolution,Putin signs decree on UN Iran resolution,eng-1997119,ettelaat.com,sure-information-crossing,Putin signs decree on UN Iran resolution,isFilledBy. consists of . Effected. Reacted. want to. want to. It can be becuase. has sub event. becuase. Caused. Intended. needed. wanted. wanted. 9, a flag.  authoritative.  gets a new job.  happy.  PersonY asks for a copy of the decree..  PersonY asks for a copy of the decree..  Putin is not a lawyer..  read the decree.  read the decree.  the people of the world to know the truth.  to be a leader.  to be in charge of the country.  to protest against the resolution.  to sign the decree. 9,isFilledBy a flag. consists of  authoritative. Effected gets a new job. Reacted happy. want to PersonY asks for a copy of the decree.. want to PersonY asks for a copy of the decree.. It can be becuase Putin is not a lawyer.. has sub event read the decree. becuase read the decree. Caused the people of the world to know the truth. Intended to be a leader. needed to be in charge of the country. wanted to protest against the resolution. wanted to sign the decree. 9,Putin signs decree on UN Iran resolution. isFilledBy a flag. consists of  authoritative. Effected gets a new job. Reacted happy. want to PersonY asks for a copy of the decree.. want to PersonY asks for a copy of the decree.. It can be becuase Putin is not a lawyer.. has sub event read the decree. becuase read the decree. Caused the people of the world to know the truth. Intended to be a leader. needed to be in charge of the country. wanted to protest against the resolution. wanted to sign the decree. 9,0,The sentiment score is neutral
740065450,2017-10-09 16:12:00+00:00,eng,0.6,http://www.thepatrioticvanguard.com/liberian-presidential-election-who-will-win,Liberian presidential election: Who will win?{70},eng-3492052,thepatrioticvanguard.com,sure-information-crossing,Liberian presidential election: Who will win?{70},isFilledBy. consists of . Reacted. want to. It can be becuase. becuase. Caused. wanted. wanted. has sub event. 2550, election.  hopeful.  hopeful.  PersonX wins the election..  The election is too close to call..  the winner of the election.  the winner of the election.  to win the election.  to win the election.  win the election. 2550,isFilledBy election. consists of  hopeful. Reacted hopeful. want to PersonX wins the election.. It can be becuase The election is too close to call.. becuase the winner of the election. Caused the winner of the election. wanted to win the election. wanted to win the election. has sub event win the election. 2550,Liberian presidential election: Who will win?{70}. isFilledBy election. consists of  hopeful. Reacted hopeful. want to PersonX wins the election.. It can be becuase The election is too close to call.. becuase the winner of the election. Caused the winner of the election. wanted to win the election. wanted to win the election. has sub event win the election. 2550,0,The sentiment score is neutral
983464956,2018-10-31 23:23:00+00:00,eng,0.4,https://smmirror.com/2018/10/if-there-really-is-a-blue-wave-which-seats-go-dem/,"If There Really Is a Blue Wave, Which Seats Go Dem? - Santa Monica Mirror",eng-4393769,smmirror.com,sure-information-crossing,"If There Really Is a Blue Wave, Which Seats Go Dem? - Santa Monica Mirror",Reacted. becuase. Caused. want to. It can be becuase. isFilledBy. want to. consists of . wanted. 2619," happy.  if there is a blue wave.  if there is a blue wave, there is a blue wave..  If There Is a Blue Wave, Which Seats Go Dem?.  If There Is a Blue Wave, Which Seats Go Dem?.  if there really is a blue wave, which seats go go Dem.  If There's a Blue Wave, Which Seats Go Dem?.  political.  to see how the election went. 2619","Reacted happy. becuase if there is a blue wave. Caused if there is a blue wave, there is a blue wave.. want to If There Is a Blue Wave, Which Seats Go Dem?. It can be becuase If There Is a Blue Wave, Which Seats Go Dem?. isFilledBy if there really is a blue wave, which seats go go Dem. want to If There's a Blue Wave, Which Seats Go Dem?. consists of  political. wanted to see how the election went. 2619","If There Really Is a Blue Wave, Which Seats Go Dem? - Santa Monica Mirror. Reacted happy. becuase if there is a blue wave. Caused if there is a blue wave, there is a blue wave.. want to If There Is a Blue Wave, Which Seats Go Dem?. It can be becuase If There Is a Blue Wave, Which Seats Go Dem?. isFilledBy if there really is a blue wave, which seats go go Dem. want to If There's a Blue Wave, Which Seats Go Dem?. consists of  political. wanted to see how the election went. 2619",0,The sentiment score is neutral
1003448630,2018-11-26 08:33:00+00:00,eng,0.5,https://www.insidehighered.com/news/2018/11/26/academics-outraged-over-life-sentence-british-graduate-student-uae,Academics outraged over life sentence for British graduate student in U.A.E.,eng-4440007,insidehighered.com,sure-information-crossing,Academics outraged over life sentence for British graduate student in U.A.E.,isFilledBy. consists of . Reacted. becuase. want to. needed. Intended. Effected. has sub event. It can be becuase. want to. Caused. wanted. wanted. 2628, academic freedom.  angry.  angry.  get a new job.  get a new job.  get into trouble.  get out of jail.  gets sentenced to life in prison.  learn new things.  PersonX is not a criminal..  PersonX is sentenced to life in prison..  students to protest.  to protest against the sentence.  to protest against the sentence. 2628,isFilledBy academic freedom. consists of  angry. Reacted angry. becuase get a new job. want to get a new job. needed get into trouble. Intended get out of jail. Effected gets sentenced to life in prison. has sub event learn new things. It can be becuase PersonX is not a criminal.. want to PersonX is sentenced to life in prison.. Caused students to protest. wanted to protest against the sentence. wanted to protest against the sentence. 2628,Academics outraged over life sentence for British graduate student in U.A.E.. isFilledBy academic freedom. consists of  angry. Reacted angry. becuase get a new job. want to get a new job. needed get into trouble. Intended get out of jail. Effected gets sentenced to life in prison. has sub event learn new things. It can be becuase PersonX is not a criminal.. want to PersonX is sentenced to life in prison.. Caused students to protest. wanted to protest against the sentence. wanted to protest against the sentence. 2628,-0.4939,The sentiment score is negative
1017114471,2018-12-12 21:24:00+00:00,eng,0.4,https://www.ncnewspress.com/opinion/20181130/matthew-t-mangino-presidents-tweets-tell-story?rssfeed=true,Matthew T. Mangino: The president's tweets tell a story,eng-4476023,ncnewspress.com,sure-information-crossing,Matthew T. Mangino: The president's tweets tell a story,Reacted. want to. want to. has sub event. consists of . It can be becuase. isFilledBy. needed. wanted. 2673, like they are telling a story.  PersonX reads the story..  PersonY reads the story..  read the story.  smart.  The president is not telling the story..  The president is telling a story..  to read the president's tweets.  to tell a story. 2673,Reacted like they are telling a story. want to PersonX reads the story.. want to PersonY reads the story.. has sub event read the story. consists of  smart. It can be becuase The president is not telling the story.. isFilledBy The president is telling a story.. needed to read the president's tweets. wanted to tell a story. 2673,Matthew T. Mangino: The president's tweets tell a story. Reacted like they are telling a story. want to PersonX reads the story.. want to PersonY reads the story.. has sub event read the story. consists of  smart. It can be becuase The president is not telling the story.. isFilledBy The president is telling a story.. needed to read the president's tweets. wanted to tell a story. 2673,0,The sentiment score is neutral
995260688,2018-11-15 14:34:00+00:00,eng,0.6,https://www.today.ng/news/world/mike-pence-donald-trump-meet-kim-jong-2019-nuclear-programmes-170983,Mike Pence: Donald Trump to meet Kim Jong-un in 2019 over nuclear programmes | TODAY.NG,eng-4422552,today.ng,sure-information-crossing,Mike Pence: Donald Trump to meet Kim Jong-un in 2019 over nuclear programmes | TODAY.NG,Effected. Reacted. want to. becuase. want to. Caused. It can be becuase. Effected. isFilledBy. consists of . needed. Intended. wanted. wanted. has sub event. 2711, get a meeting with the leader.  happy.  Mike Pence talks to Kim Jong-un.  Mike Pence talks to Kim Jong-un.  Mike Pence talks to Kim Jong-un.  Mike Pence talks to Kim Jong-un.  Mike Pence talks to Kim Jong-un.  Mike Pence talks to Kim Jong-un.  nuclear weapons.  talkative.  to have a meeting with Kim Jong-un.  to make a deal.  to make a deal.  to make a deal with Kim.  to meet with Kim Jong-un. 2711,Effected get a meeting with the leader. Reacted happy. want to Mike Pence talks to Kim Jong-un. becuase Mike Pence talks to Kim Jong-un. want to Mike Pence talks to Kim Jong-un. Caused Mike Pence talks to Kim Jong-un. It can be becuase Mike Pence talks to Kim Jong-un. Effected Mike Pence talks to Kim Jong-un. isFilledBy nuclear weapons. consists of  talkative. needed to have a meeting with Kim Jong-un. Intended to make a deal. wanted to make a deal. wanted to make a deal with Kim. has sub event to meet with Kim Jong-un. 2711,Mike Pence: Donald Trump to meet Kim Jong-un in 2019 over nuclear programmes | TODAY.NG. Effected get a meeting with the leader. Reacted happy. want to Mike Pence talks to Kim Jong-un. becuase Mike Pence talks to Kim Jong-un. want to Mike Pence talks to Kim Jong-un. Caused Mike Pence talks to Kim Jong-un. It can be becuase Mike Pence talks to Kim Jong-un. Effected Mike Pence talks to Kim Jong-un. isFilledBy nuclear weapons. consists of  talkative. needed to have a meeting with Kim Jong-un. Intended to make a deal. wanted to make a deal. wanted to make a deal with Kim. has sub event to meet with Kim Jong-un. 2711,0,The sentiment score is neutral
1006225930,2018-11-29 09:54:00+00:00,eng,0.6,https://www.bellanaija.com/2018/11/georgia-president-salome-zurabishvili/,Georgia elects first Female President Salome Zurabishvili,rus-513060,bellanaija.com,sure-information-crossing,Georgia elects first Female President Salome Zurabishvili,isFilledBy. It can be becuase. has sub event. Effected. want to. Reacted. consists of . Caused. becuase. Intended. wanted. wanted. needed. 2726, election.  Georgia is a male-dominated country..  get elected.  gets a new job.  PersonX is elected to office..  proud.  strong.  the people of the country to vote for the first female president.  they get a new president.  to be a leader.  to be president.  to lead the country.  to vote for the first female president. 2726,isFilledBy election. It can be becuase Georgia is a male-dominated country.. has sub event get elected. Effected gets a new job. want to PersonX is elected to office.. Reacted proud. consists of  strong. Caused the people of the country to vote for the first female president. becuase they get a new president. Intended to be a leader. wanted to be president. wanted to lead the country. needed to vote for the first female president. 2726,Georgia elects first Female President Salome Zurabishvili. isFilledBy election. It can be becuase Georgia is a male-dominated country.. has sub event get elected. Effected gets a new job. want to PersonX is elected to office.. Reacted proud. consists of  strong. Caused the people of the country to vote for the first female president. becuase they get a new president. Intended to be a leader. wanted to be president. wanted to lead the country. needed to vote for the first female president. 2726,0,The sentiment score is neutral
894157138,2018-06-26 09:11:00+00:00,eng,0.5,http://www.stratford-herald.com/88095-remainers-take-part-brexit-march.html,Remainers take part in Brexit march - Stratford Herald,eng-4054335,stratford-herald.com,sure-information-crossing,Remainers take part in Brexit march - Stratford Herald,Effected. Reacted. has sub event. isFilledBy. Caused. want to. becuase. want to. consists of . It can be becuase. needed. Intended. wanted. wanted. 2739, gets arrested.  happy.  leave the country.  march.  Remains.  Remains march.  Remains march.  Remains march.  Remorseful.  They are not allowed in the country..  to get ready for the march.  to protest.  to protest.  to protest. 2739,Effected gets arrested. Reacted happy. has sub event leave the country. isFilledBy march. Caused Remains. want to Remains march. becuase Remains march. want to Remains march. consists of  Remorseful. It can be becuase They are not allowed in the country.. needed to get ready for the march. Intended to protest. wanted to protest. wanted to protest. 2739,Remainers take part in Brexit march - Stratford Herald. Effected gets arrested. Reacted happy. has sub event leave the country. isFilledBy march. Caused Remains. want to Remains march. becuase Remains march. want to Remains march. consists of  Remorseful. It can be becuase They are not allowed in the country.. needed to get ready for the march. Intended to protest. wanted to protest. wanted to protest. 2739,0,The sentiment score is neutral
890272122,2018-06-19 17:37:00+00:00,eng,0.7,https://www.dailylahorepost.com/trump-wants-to-dominate-space-moon-and-mars/,"Trump wants to dominate space, Moon and Mars",eng-4042151,dailylahorepost.com,sure-information-crossing,"Trump wants to dominate space, Moon and Mars",consists of . Effected. becuase. Caused. Reacted. want to. want to. isFilledBy. Intended. has sub event. wanted. It can be becuase. 2753, ambitious.  gets a lot of attention.  he wants to be the leader of the free world.  he wants to be the leader of the free world.  powerful.  space exploration.  space exploration.  space shuttle.  to be the leader.  to dominate space.  to go to the moon.  Trump wants to dominate the world.. 2753,consists of  ambitious. Effected gets a lot of attention. becuase he wants to be the leader of the free world. Caused he wants to be the leader of the free world. Reacted powerful. want to space exploration. want to space exploration. isFilledBy space shuttle. Intended to be the leader. has sub event to dominate space. wanted to go to the moon. It can be becuase Trump wants to dominate the world.. 2753,"Trump wants to dominate space, Moon and Mars. consists of  ambitious. Effected gets a lot of attention. becuase he wants to be the leader of the free world. Caused he wants to be the leader of the free world. Reacted powerful. want to space exploration. want to space exploration. isFilledBy space shuttle. Intended to be the leader. has sub event to dominate space. wanted to go to the moon. It can be becuase Trump wants to dominate the world.. 2753",-0.128,The sentiment score is negative
915317601,2018-07-30 01:01:00+00:00,eng,0.7,http://www.sheppnews.com.au/@world-news/2018/07/29/171570?slug=mugabe-backs-opposition-on-eve-of-election,Mugabe backs opposition on eve of election - Shepparton News,eng-4137754,sheppnews.com.au,sure-information-crossing,Mugabe backs opposition on eve of election - Shepparton News,has sub event. Reacted. isFilledBy. consists of . want to. want to. It can be becuase. Caused. wanted. wanted. 2765, get elected.  happy.  news.  political.  Shepparton News.  Shepparton News.  Shepparton News is owned by the ZANU-PF..  the opposition to win the election.  to win the election.  to win the election. 2765,has sub event get elected. Reacted happy. isFilledBy news. consists of  political. want to Shepparton News. want to Shepparton News. It can be becuase Shepparton News is owned by the ZANU-PF.. Caused the opposition to win the election. wanted to win the election. wanted to win the election. 2765,Mugabe backs opposition on eve of election - Shepparton News. has sub event get elected. Reacted happy. isFilledBy news. consists of  political. want to Shepparton News. want to Shepparton News. It can be becuase Shepparton News is owned by the ZANU-PF.. Caused the opposition to win the election. wanted to win the election. wanted to win the election. 2765,-0.0516,The sentiment score is negative
