id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
785405757,2017-12-29 08:43:00+00:00,eng,0.7,http://www.newspakistan.pk/2017/12/29/fire-engulfs-popular-restaurant-mumbai-killing-15-people/,Fire engulfs popular restaurant in Mumbai killing 15 people - News Pakistan,eng-3675219,newspakistan.pk,sure-information-crossing,Fire engulfs popular restaurant in Mumbai killing 15 people - News Pakistan,Effected. consists of . want to. isFilledBy. Caused. want to. It can be becuase. Effected. becuase. has sub event. needed. Reacted. wanted. wanted. 627, burns down building.  dangerous.  fire.  fire.  fire.  fire engulfs popular restaurant in Mumbai killing 15 people.  fire engulfs popular restaurant in Mumbai killing 15 people.  get injured.  get out of the building.  get out of the way.  go to the restaurant.  sad.  to get out of the building.  to get out of the building. 627,Effected burns down building. consists of  dangerous. want to fire. isFilledBy fire. Caused fire. want to fire engulfs popular restaurant in Mumbai killing 15 people. It can be becuase fire engulfs popular restaurant in Mumbai killing 15 people. Effected get injured. becuase get out of the building. has sub event get out of the way. needed go to the restaurant. Reacted sad. wanted to get out of the building. wanted to get out of the building. 627,Fire engulfs popular restaurant in Mumbai killing 15 people - News Pakistan. Effected burns down building. consists of  dangerous. want to fire. isFilledBy fire. Caused fire. want to fire engulfs popular restaurant in Mumbai killing 15 people. It can be becuase fire engulfs popular restaurant in Mumbai killing 15 people. Effected get injured. becuase get out of the building. has sub event get out of the way. needed go to the restaurant. Reacted sad. wanted to get out of the building. wanted to get out of the building. 627,-0.6124,The sentiment score is negative
984564732,2018-11-02 08:26:00+00:00,eng,0.5,https://www.middleeasteye.net/news/saudi-led-coalition-bombs-air-base-rebel-held-yemen-capital-869182483,Saudi-led coalition bombs air base in rebel-held Yemen capital,eng-4393579,middleeasteye.net,sure-information-crossing,Saudi-led coalition bombs air base in rebel-held Yemen capital,consists of . isFilledBy. Reacted. Effected. has sub event. Effected. It can be becuase. want to. needed. Intended. wanted. wanted. want to. becuase. 706, aggressive.  air force.  angry.  bombs air base.  get injured.  kills many people.  Saudi Arabia is fighting a war against the rebels..  Saudi Arabia kills rebel leader.  to be in a position of power.  to fight a war.  to get revenge on the rebels.  to kill the rebels.  warplanes.  warplanes. 706,consists of  aggressive. isFilledBy air force. Reacted angry. Effected bombs air base. has sub event get injured. Effected kills many people. It can be becuase Saudi Arabia is fighting a war against the rebels.. want to Saudi Arabia kills rebel leader. needed to be in a position of power. Intended to fight a war. wanted to get revenge on the rebels. wanted to kill the rebels. want to warplanes. becuase warplanes. 706,Saudi-led coalition bombs air base in rebel-held Yemen capital. consists of  aggressive. isFilledBy air force. Reacted angry. Effected bombs air base. has sub event get injured. Effected kills many people. It can be becuase Saudi Arabia is fighting a war against the rebels.. want to Saudi Arabia kills rebel leader. needed to be in a position of power. Intended to fight a war. wanted to get revenge on the rebels. wanted to kill the rebels. want to warplanes. becuase warplanes. 706,0,The sentiment score is neutral
1045029531,2019-01-20 22:29:00+00:00,eng,0.1,https://pakobserver.net/khalilzad-ends-visit-to-pakistan/,Khalilzad ends visit to Pakistan,eng-4545817,pakobserver.net,sure-information-crossing,Khalilzad ends visit to Pakistan,has sub event. Effected. Reacted. want to. isFilledBy. consists of . It can be becuase. want to. becuase. Caused. Intended. wanted. needed. 739, get out of the country.  gets arrested.  happy.  PersonX asks personY why they are leaving..  plane.  sad.  They don't have the money to pay for it..  they go back to their home country.  they go back to where they came from.  they have to go back home.  to go home.  to go home.  to make arrangements to leave the country. 739,has sub event get out of the country. Effected gets arrested. Reacted happy. want to PersonX asks personY why they are leaving.. isFilledBy plane. consists of  sad. It can be becuase They don't have the money to pay for it.. want to they go back to their home country. becuase they go back to where they came from. Caused they have to go back home. Intended to go home. wanted to go home. needed to make arrangements to leave the country. 739,Khalilzad ends visit to Pakistan. has sub event get out of the country. Effected gets arrested. Reacted happy. want to PersonX asks personY why they are leaving.. isFilledBy plane. consists of  sad. It can be becuase They don't have the money to pay for it.. want to they go back to their home country. becuase they go back to where they came from. Caused they have to go back home. Intended to go home. wanted to go home. needed to make arrangements to leave the country. 739,0,The sentiment score is neutral
1046014534,2019-01-22 05:21:00+00:00,eng,0.3,https://en.mehrnews.com/news/141770/Iran-condemns-deadly-attack-on-Afghan-military-compound,Iran condemns deadly attack on Afghan military compound,eng-4545817,en.mehrnews.com,sure-information-crossing,Iran condemns deadly attack on Afghan military compound,Reacted. consists of . want to. becuase. want to. Caused. It can be becuase. isFilledBy. needed. wanted. wanted. 752, angry.  angry.  Iran condemns the attack on Afghanistan military compound.  Iran condemns the attack on Afghanistan military compound.  Iran condemns the attack on Afghanistan military compound.  Iran condemns the attack on the military compound.  Iran has no military bases in Afghanistan..  the president of the country.  to know about the attack.  to make a statement.  to send condolences to the families of the dead. 752,Reacted angry. consists of  angry. want to Iran condemns the attack on Afghanistan military compound. becuase Iran condemns the attack on Afghanistan military compound. want to Iran condemns the attack on Afghanistan military compound. Caused Iran condemns the attack on the military compound. It can be becuase Iran has no military bases in Afghanistan.. isFilledBy the president of the country. needed to know about the attack. wanted to make a statement. wanted to send condolences to the families of the dead. 752,Iran condemns deadly attack on Afghan military compound. Reacted angry. consists of  angry. want to Iran condemns the attack on Afghanistan military compound. becuase Iran condemns the attack on Afghanistan military compound. want to Iran condemns the attack on Afghanistan military compound. Caused Iran condemns the attack on the military compound. It can be becuase Iran has no military bases in Afghanistan.. isFilledBy the president of the country. needed to know about the attack. wanted to make a statement. wanted to send condolences to the families of the dead. 752,-0.7506,The sentiment score is negative
6448206093,2021-02-24 17:41:00+00:00,eng,0.8,http://abcnewsradioonline.com/music-news/2021/2/24/springsteen-receives-small-fine-after-pleading-guilty-to-mis.html,ABC News Radio,eng-6582216,abcnewsradioonline.com,sure-information-crossing,ABC News Radio,becuase. Reacted. Effected. consists of . needed. Intended. Effected. has sub event. wanted. Caused. want to. isFilledBy. want to. It can be becuase. wanted. 912, broadcast on radio.  happy.  hear news stories.  informative.  listen to.  listen to news.  listen to news.  listen to news.  listen to the news.  news.  radio station.  radio station.  radio station.  The radio station is closed..  to talk about current events. 912,becuase broadcast on radio. Reacted happy. Effected hear news stories. consists of  informative. needed listen to. Intended listen to news. Effected listen to news. has sub event listen to news. wanted listen to the news. Caused news. want to radio station. isFilledBy radio station. want to radio station. It can be becuase The radio station is closed.. wanted to talk about current events. 912,ABC News Radio. becuase broadcast on radio. Reacted happy. Effected hear news stories. consists of  informative. needed listen to. Intended listen to news. Effected listen to news. has sub event listen to news. wanted listen to the news. Caused news. want to radio station. isFilledBy radio station. want to radio station. It can be becuase The radio station is closed.. wanted to talk about current events. 912,0,The sentiment score is neutral
6558553512,2021-05-12 10:17:00+00:00,eng,0.7,https://www.statnews.com/2021/05/12/covid-pandemic-should-serve-as-chernobyl-moment-for-global-health-reform-international-experts-say/,International panel calls for overhaul of pandemic preparedness efforts,eng-6779519,statnews.com,sure-information-crossing,International panel calls for overhaul of pandemic preparedness efforts,Effected. has sub event. isFilledBy. want to. consists of . Intended. needed. wanted. wanted. Reacted. 927, is asked to make a report.  make sure people are safe.  medicine chest.  PersonX dies in a pandemic.  preparedness.  to be prepared for the next pandemic.  to gather information.  to make a report.  to make sure everyone is prepared.  worried. 927,Effected is asked to make a report. has sub event make sure people are safe. isFilledBy medicine chest. want to PersonX dies in a pandemic. consists of  preparedness. Intended to be prepared for the next pandemic. needed to gather information. wanted to make a report. wanted to make sure everyone is prepared. Reacted worried. 927,International panel calls for overhaul of pandemic preparedness efforts. Effected is asked to make a report. has sub event make sure people are safe. isFilledBy medicine chest. want to PersonX dies in a pandemic. consists of  preparedness. Intended to be prepared for the next pandemic. needed to gather information. wanted to make a report. wanted to make sure everyone is prepared. Reacted worried. 927,0,The sentiment score is neutral
6479792986,2021-03-17 21:50:00+00:00,eng,0.7,https://www.ashcroftcachecreekjournal.com/news/two-michaels-detained-in-china-have-hearings-friday-and-monday-says-garneau/,"'Two Michaels' detained in China have hearings Friday and Monday, says Garneau - Ashcroft Cache Creek Journal",eng-6638291,ashcroftcachecreekjournal.com,sure-information-crossing,"'Two Michaels' detained in China have hearings Friday and Monday, says Garneau - Ashcroft Cache Creek Journal",consists of . has sub event. Reacted. wanted. needed. wanted. Caused. It can be becuase. isFilledBy. want to. becuase. want to. 1013," detained.  get a new job.  nervous.  to go to court.  to have been detained in China.  to make a statement.  'Two Michaels' detained in China have hearings Friday and Monday, says Garneau. 'Two Michaels' detained in China. 'Two Michaels' detained in China have hearings. 'Two Michaels' detained in China have hearings Friday and Monday. 'Two Michaels' detained in China have hearings Friday and Monday. 'Two Michaels' detained in China have hearings Friday and Monday. 1013","consists of  detained. has sub event get a new job. Reacted nervous. wanted to go to court. needed to have been detained in China. wanted to make a statement. Caused 'Two Michaels' detained in China have hearings Friday and Monday, says Garneau. It can be becuase'Two Michaels' detained in China. isFilledBy'Two Michaels' detained in China have hearings. want to'Two Michaels' detained in China have hearings Friday and Monday. becuase'Two Michaels' detained in China have hearings Friday and Monday. want to'Two Michaels' detained in China have hearings Friday and Monday. 1013","'Two Michaels' detained in China have hearings Friday and Monday, says Garneau - Ashcroft Cache Creek Journal. consists of  detained. has sub event get a new job. Reacted nervous. wanted to go to court. needed to have been detained in China. wanted to make a statement. Caused 'Two Michaels' detained in China have hearings Friday and Monday, says Garneau. It can be becuase'Two Michaels' detained in China. isFilledBy'Two Michaels' detained in China have hearings. want to'Two Michaels' detained in China have hearings Friday and Monday. becuase'Two Michaels' detained in China have hearings Friday and Monday. want to'Two Michaels' detained in China have hearings Friday and Monday. 1013",-0.4019,The sentiment score is negative
396069480,2016-03-08 09:16:00+00:00,eng,0.4,http://aa.com.tr/en/todays-headlines/turkish-press-review/533397,Turkish Press Review,deu-465661,aa.com.tr,sure-not-crossing,Turkish Press Review,needed. has sub event. Reacted. consists of . becuase. Caused. want to. isFilledBy. want to. Effected. It can be becuase. Intended. wanted. wanted. needed. has sub event. Reacted. consists of . becuase. Caused. want to. isFilledBy. want to. Effected. It can be becuase. Intended. wanted. wanted. 417, find out what is going on.  find out what's going on.  happy.  informative.  news.  news.  newspaper.  newspaper.  newspaper.  receives feedback from readers.  The New York Times.  to be informed.  to read the newspaper.  to read the review.  find out what is going on.  find out what's going on.  happy.  informative.  news.  news.  newspaper.  newspaper.  newspaper.  receives feedback from readers.  The New York Times.  to be informed.  to read the newspaper.  to read the review. 417,needed find out what is going on. has sub event find out what's going on. Reacted happy. consists of  informative. becuase news. Caused news. want to newspaper. isFilledBy newspaper. want to newspaper. Effected receives feedback from readers. It can be becuase The New York Times. Intended to be informed. wanted to read the newspaper. wanted to read the review. needed find out what is going on. has sub event find out what's going on. Reacted happy. consists of  informative. becuase news. Caused news. want to newspaper. isFilledBy newspaper. want to newspaper. Effected receives feedback from readers. It can be becuase The New York Times. Intended to be informed. wanted to read the newspaper. wanted to read the review. 417,Turkish Press Review. needed find out what is going on. has sub event find out what's going on. Reacted happy. consists of  informative. becuase news. Caused news. want to newspaper. isFilledBy newspaper. want to newspaper. Effected receives feedback from readers. It can be becuase The New York Times. Intended to be informed. wanted to read the newspaper. wanted to read the review. needed find out what is going on. has sub event find out what's going on. Reacted happy. consists of  informative. becuase news. Caused news. want to newspaper. isFilledBy newspaper. want to newspaper. Effected receives feedback from readers. It can be becuase The New York Times. Intended to be informed. wanted to read the newspaper. wanted to read the review. 417,0,The sentiment score is neutral
400574245,2016-03-15 09:27:00+00:00,eng,0.4,http://aa.com.tr/en/turkey/turkish-press-review/537504,Turkish Press Review,eng-2003157,aa.com.tr,sure-not-crossing,Turkish Press Review,needed. has sub event. Reacted. consists of . becuase. Caused. want to. isFilledBy. want to. Effected. It can be becuase. Intended. wanted. wanted. needed. has sub event. Reacted. consists of . becuase. Caused. want to. isFilledBy. want to. Effected. It can be becuase. Intended. wanted. wanted. 417, find out what is going on.  find out what's going on.  happy.  informative.  news.  news.  newspaper.  newspaper.  newspaper.  receives feedback from readers.  The New York Times.  to be informed.  to read the newspaper.  to read the review.  find out what is going on.  find out what's going on.  happy.  informative.  news.  news.  newspaper.  newspaper.  newspaper.  receives feedback from readers.  The New York Times.  to be informed.  to read the newspaper.  to read the review. 417,needed find out what is going on. has sub event find out what's going on. Reacted happy. consists of  informative. becuase news. Caused news. want to newspaper. isFilledBy newspaper. want to newspaper. Effected receives feedback from readers. It can be becuase The New York Times. Intended to be informed. wanted to read the newspaper. wanted to read the review. needed find out what is going on. has sub event find out what's going on. Reacted happy. consists of  informative. becuase news. Caused news. want to newspaper. isFilledBy newspaper. want to newspaper. Effected receives feedback from readers. It can be becuase The New York Times. Intended to be informed. wanted to read the newspaper. wanted to read the review. 417,Turkish Press Review. needed find out what is going on. has sub event find out what's going on. Reacted happy. consists of  informative. becuase news. Caused news. want to newspaper. isFilledBy newspaper. want to newspaper. Effected receives feedback from readers. It can be becuase The New York Times. Intended to be informed. wanted to read the newspaper. wanted to read the review. needed find out what is going on. has sub event find out what's going on. Reacted happy. consists of  informative. becuase news. Caused news. want to newspaper. isFilledBy newspaper. want to newspaper. Effected receives feedback from readers. It can be becuase The New York Times. Intended to be informed. wanted to read the newspaper. wanted to read the review. 417,0,The sentiment score is neutral
408284200,2016-03-28 02:52:00+00:00,eng,0.4,http://aa.com.tr/en/todays-headlines/assad-regime-forces-retake-daesh-held-palmyra/544659,Assad regime forces retake Daesh-held Palmyra,eng-2035068,aa.com.tr,sure-not-crossing,Assad regime forces retake Daesh-held Palmyra,isFilledBy. want to. It can be becuase. Effected. has sub event. Effected. becuase. Reacted. consists of . want to. Caused. needed. wanted. Intended. wanted. 431, armory.  Assad regime forces retake the city of Palmyra.  Assad's forces are in control of Palmyra..  get killed.  get killed.  gets killed.  have a place to live.  relieved.  strong.  the people of Palmyra return to their homes.  the people of Palmyra to be liberated.  to be in control of Palmyra.  to celebrate.  to win the war.  to win the war. 431,isFilledBy armory. want to Assad regime forces retake the city of Palmyra. It can be becuase Assad's forces are in control of Palmyra.. Effected get killed. has sub event get killed. Effected gets killed. becuase have a place to live. Reacted relieved. consists of  strong. want to the people of Palmyra return to their homes. Caused the people of Palmyra to be liberated. needed to be in control of Palmyra. wanted to celebrate. Intended to win the war. wanted to win the war. 431,Assad regime forces retake Daesh-held Palmyra. isFilledBy armory. want to Assad regime forces retake the city of Palmyra. It can be becuase Assad's forces are in control of Palmyra.. Effected get killed. has sub event get killed. Effected gets killed. becuase have a place to live. Reacted relieved. consists of  strong. want to the people of Palmyra return to their homes. Caused the people of Palmyra to be liberated. needed to be in control of Palmyra. wanted to celebrate. Intended to win the war. wanted to win the war. 431,0,The sentiment score is neutral
