id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
557963519,2016-12-02 02:04:00+00:00,eng,0.8,http://english.yonhapnews.co.kr/news/2016/12/02/0200000000AEN20161202003600315.html?input=rss,Saenui dissenters demand Park unveil timeline for resignation,eng-2686912,english.yonhapnews.co.kr,sure-information-crossing,Saenui dissenters demand Park unveil timeline for resignation,Caused. has sub event. It can be becuase. want to. want to. isFilledBy. wanted. consists of . Effected. Intended. needed. Reacted. becuase. wanted. consists of . Reacted. has sub event. Effected. want to. isFilledBy. want to. It can be becuase. becuase. Caused. Intended. wanted. needed. wanted. 236, they want to see what they can do about it.  get a new job.  They don't know the timeline..  the president to resign.  PersonY asks for a meeting with the president..  the president to resign.  to protest.  angry.  get a new job.  to get rid of a bad leader.  to have a meeting with the president.  angry.  they want to see what the timeline will look like.  to get rid of him.  angry.  angry.  get a new job.  get a new job.  PersonY asks for a meeting with the president..  the president to resign.  the president to resign.  They don't know the timeline..  they want to see what the timeline will look like.  they want to see what they can do about it.  to get rid of a bad leader.  to get rid of him.  to have a meeting with the president.  to protest. 236,Caused they want to see what they can do about it. has sub event get a new job. It can be becuase They don't know the timeline.. want to the president to resign. want to PersonY asks for a meeting with the president.. isFilledBy the president to resign. wanted to protest. consists of  angry. Effected get a new job. Intended to get rid of a bad leader. needed to have a meeting with the president. Reacted angry. becuase they want to see what the timeline will look like. wanted to get rid of him. consists of  angry. Reacted angry. has sub event get a new job. Effected get a new job. want to PersonY asks for a meeting with the president.. isFilledBy the president to resign. want to the president to resign. It can be becuase They don't know the timeline.. becuase they want to see what the timeline will look like. Caused they want to see what they can do about it. Intended to get rid of a bad leader. wanted to get rid of him. needed to have a meeting with the president. wanted to protest. 236,Saenui dissenters demand Park unveil timeline for resignation. Caused they want to see what they can do about it. has sub event get a new job. It can be becuase They don't know the timeline.. want to the president to resign. want to PersonY asks for a meeting with the president.. isFilledBy the president to resign. wanted to protest. consists of  angry. Effected get a new job. Intended to get rid of a bad leader. needed to have a meeting with the president. Reacted angry. becuase they want to see what the timeline will look like. wanted to get rid of him. consists of  angry. Reacted angry. has sub event get a new job. Effected get a new job. want to PersonY asks for a meeting with the president.. isFilledBy the president to resign. want to the president to resign. It can be becuase They don't know the timeline.. becuase they want to see what the timeline will look like. Caused they want to see what they can do about it. Intended to get rid of a bad leader. wanted to get rid of him. needed to have a meeting with the president. wanted to protest. 236,-0.4019,The sentiment score is negative
396035067,2016-03-08 08:09:00+00:00,eng,0.8,http://www.thepeninsulaqatar.com/sports/tennis/373375/sharapova-confirms-failed-drug-test-sanction-uncertain,"Sharapova confirms failed drug test, sanction uncertain",eng-1988168,thepeninsulaqatar.com,sure-information-crossing,"Sharapova confirms failed drug test, sanction uncertain",Caused. It can be becuase. want to. want to. isFilledBy. consists of . Effected. needed. Reacted. becuase. wanted. Reacted. consists of . Effected. want to. want to. becuase. Caused. isFilledBy. It can be becuase. needed. wanted. Reacted. consists of . Effected. want to. want to. becuase. Caused. isFilledBy. It can be becuase. needed. wanted. 196, she is banned from the sport.  The drug test was done by someone else..  PersonX gets arrested for drug use..  PersonX gets a new drug test..  tennis racquet.  careless.  gets punished.  to fail a drug test.  ashamed.  she is banned from the sport.  to go to court.  ashamed.  careless.  gets punished.  PersonX gets a new drug test..  PersonX gets arrested for drug use..  she is banned from the sport.  she is banned from the sport.  tennis racquet.  The drug test was done by someone else..  to fail a drug test.  to go to court.  ashamed.  careless.  gets punished.  PersonX gets a new drug test..  PersonX gets arrested for drug use..  she is banned from the sport.  she is banned from the sport.  tennis racquet.  The drug test was done by someone else..  to fail a drug test.  to go to court. 196,Caused she is banned from the sport. It can be becuase The drug test was done by someone else.. want to PersonX gets arrested for drug use.. want to PersonX gets a new drug test.. isFilledBy tennis racquet. consists of  careless. Effected gets punished. needed to fail a drug test. Reacted ashamed. becuase she is banned from the sport. wanted to go to court. Reacted ashamed. consists of  careless. Effected gets punished. want to PersonX gets a new drug test.. want to PersonX gets arrested for drug use.. becuase she is banned from the sport. Caused she is banned from the sport. isFilledBy tennis racquet. It can be becuase The drug test was done by someone else.. needed to fail a drug test. wanted to go to court. Reacted ashamed. consists of  careless. Effected gets punished. want to PersonX gets a new drug test.. want to PersonX gets arrested for drug use.. becuase she is banned from the sport. Caused she is banned from the sport. isFilledBy tennis racquet. It can be becuase The drug test was done by someone else.. needed to fail a drug test. wanted to go to court. 196,"Sharapova confirms failed drug test, sanction uncertain. Caused she is banned from the sport. It can be becuase The drug test was done by someone else.. want to PersonX gets arrested for drug use.. want to PersonX gets a new drug test.. isFilledBy tennis racquet. consists of  careless. Effected gets punished. needed to fail a drug test. Reacted ashamed. becuase she is banned from the sport. wanted to go to court. Reacted ashamed. consists of  careless. Effected gets punished. want to PersonX gets a new drug test.. want to PersonX gets arrested for drug use.. becuase she is banned from the sport. Caused she is banned from the sport. isFilledBy tennis racquet. It can be becuase The drug test was done by someone else.. needed to fail a drug test. wanted to go to court. Reacted ashamed. consists of  careless. Effected gets punished. want to PersonX gets a new drug test.. want to PersonX gets arrested for drug use.. becuase she is banned from the sport. Caused she is banned from the sport. isFilledBy tennis racquet. It can be becuase The drug test was done by someone else.. needed to fail a drug test. wanted to go to court. 196",-0.6705,The sentiment score is negative
425809511,2016-04-25 13:07:00+00:00,eng,0.8,http://www.aljazeera.com/news/2016/04/cruz-kasich-donald-trump-republican-nomination-160425095200832.html,Cruz and Kasich join forces to combat Donald Trump,eng-2097416,aljazeera.com,sure-information-crossing,Cruz and Kasich join forces to combat Donald Trump,Caused. has sub event. It can be becuase. isFilledBy. wanted. consists of . Effected. Intended. needed. Reacted. becuase. wanted. isFilledBy. It can be becuase. consists of . has sub event. Effected. Reacted. Caused. becuase. needed. wanted. Intended. wanted. 220, they are in the same political party.  get a new job.  Cruz and Kasich are not on the same political team..  campaign.  to win the election.  friendly.  gets a lot of attention.  to win the election.  to get together with the other candidates.  happy.  they want to win the election.  to win the election.  campaign.  Cruz and Kasich are not on the same political team..  friendly.  get a new job.  gets a lot of attention.  happy.  they are in the same political party.  they want to win the election.  to get together with the other candidates.  to win the election.  to win the election.  to win the election. 220,Caused they are in the same political party. has sub event get a new job. It can be becuase Cruz and Kasich are not on the same political team.. isFilledBy campaign. wanted to win the election. consists of  friendly. Effected gets a lot of attention. Intended to win the election. needed to get together with the other candidates. Reacted happy. becuase they want to win the election. wanted to win the election. isFilledBy campaign. It can be becuase Cruz and Kasich are not on the same political team.. consists of  friendly. has sub event get a new job. Effected gets a lot of attention. Reacted happy. Caused they are in the same political party. becuase they want to win the election. needed to get together with the other candidates. wanted to win the election. Intended to win the election. wanted to win the election. 220,Cruz and Kasich join forces to combat Donald Trump. Caused they are in the same political party. has sub event get a new job. It can be becuase Cruz and Kasich are not on the same political team.. isFilledBy campaign. wanted to win the election. consists of  friendly. Effected gets a lot of attention. Intended to win the election. needed to get together with the other candidates. Reacted happy. becuase they want to win the election. wanted to win the election. isFilledBy campaign. It can be becuase Cruz and Kasich are not on the same political team.. consists of  friendly. has sub event get a new job. Effected gets a lot of attention. Reacted happy. Caused they are in the same political party. becuase they want to win the election. needed to get together with the other candidates. wanted to win the election. Intended to win the election. wanted to win the election. 220,-0.0516,The sentiment score is negative
481850545,2016-07-30 20:36:00+00:00,eng,0.8,http://www.aljazeera.com/news/2016/07/feared-dead-texas-hot-air-balloon-crash-160730190648267.html,US: Several feared dead in Texas hot air balloon crash,eng-2333017,aljazeera.com,sure-information-crossing,US: Several feared dead in Texas hot air balloon crash,Caused. has sub event. It can be becuase. want to. want to. isFilledBy. consists of . needed. Reacted. becuase. wanted. has sub event. Caused. becuase. want to. isFilledBy. Reacted. consists of . needed. wanted. It can be becuase. want to. 185, PersonX is in a hot air balloon..  get out of hot air balloon.  US has no hot air balloons..  US: Person dies in hot air balloon crash.  PersonX jumps out of the hot air balloon.  plane.  scared.  to be in a hot air balloon.  sad.  PersonX is in a hot air balloon..  to find out what happened.  get out of hot air balloon.  PersonX is in a hot air balloon..  PersonX is in a hot air balloon..  PersonX jumps out of the hot air balloon.  plane.  sad.  scared.  to be in a hot air balloon.  to find out what happened.  US has no hot air balloons..  US: Person dies in hot air balloon crash. 185,Caused PersonX is in a hot air balloon.. has sub event get out of hot air balloon. It can be becuase US has no hot air balloons.. want to US: Person dies in hot air balloon crash. want to PersonX jumps out of the hot air balloon. isFilledBy plane. consists of  scared. needed to be in a hot air balloon. Reacted sad. becuase PersonX is in a hot air balloon.. wanted to find out what happened. has sub event get out of hot air balloon. Caused PersonX is in a hot air balloon.. becuase PersonX is in a hot air balloon.. want to PersonX jumps out of the hot air balloon. isFilledBy plane. Reacted sad. consists of  scared. needed to be in a hot air balloon. wanted to find out what happened. It can be becuase US has no hot air balloons.. want to US: Person dies in hot air balloon crash. 185,US: Several feared dead in Texas hot air balloon crash. Caused PersonX is in a hot air balloon.. has sub event get out of hot air balloon. It can be becuase US has no hot air balloons.. want to US: Person dies in hot air balloon crash. want to PersonX jumps out of the hot air balloon. isFilledBy plane. consists of  scared. needed to be in a hot air balloon. Reacted sad. becuase PersonX is in a hot air balloon.. wanted to find out what happened. has sub event get out of hot air balloon. Caused PersonX is in a hot air balloon.. becuase PersonX is in a hot air balloon.. want to PersonX jumps out of the hot air balloon. isFilledBy plane. Reacted sad. consists of  scared. needed to be in a hot air balloon. wanted to find out what happened. It can be becuase US has no hot air balloons.. want to US: Person dies in hot air balloon crash. 185,-0.8807,The sentiment score is negative
432533973,2016-05-04 20:53:00+00:00,eng,0.8,http://www.middleeasteye.net/news/turkey-political-freefall-after-news-davutoglu-set-resign-2099501738,Turkey in political freefall after news PM Davutoglu set to resign,deu-499847,middleeasteye.net,sure-information-crossing,Turkey in political freefall after news PM Davutoglu set to resign,Caused. has sub event. It can be becuase. want to. want to. isFilledBy. wanted. consists of . Effected. Reacted. becuase. wanted. Caused. has sub event. Effected. becuase. want to. want to. Reacted. isFilledBy. wanted. wanted. It can be becuase. consists of . 136, get a new job.  get fired.  Turkey's economy is in freefall.  news of resignation of prime minister.  news of resignation spreads quickly.  the country is in a state of chaos.  to find a new leader.  unstable.  gets fired.  sad.  have to find a new leader.  to find a new leader.  get a new job.  get fired.  gets fired.  have to find a new leader.  news of resignation of prime minister.  news of resignation spreads quickly.  sad.  the country is in a state of chaos.  to find a new leader.  to find a new leader.  Turkey's economy is in freefall.  unstable. 136,Caused get a new job. has sub event get fired. It can be becuase Turkey's economy is in freefall. want to news of resignation of prime minister. want to news of resignation spreads quickly. isFilledBy the country is in a state of chaos. wanted to find a new leader. consists of  unstable. Effected gets fired. Reacted sad. becuase have to find a new leader. wanted to find a new leader. Caused get a new job. has sub event get fired. Effected gets fired. becuase have to find a new leader. want to news of resignation of prime minister. want to news of resignation spreads quickly. Reacted sad. isFilledBy the country is in a state of chaos. wanted to find a new leader. wanted to find a new leader. It can be becuase Turkey's economy is in freefall. consists of  unstable. 136,Turkey in political freefall after news PM Davutoglu set to resign. Caused get a new job. has sub event get fired. It can be becuase Turkey's economy is in freefall. want to news of resignation of prime minister. want to news of resignation spreads quickly. isFilledBy the country is in a state of chaos. wanted to find a new leader. consists of  unstable. Effected gets fired. Reacted sad. becuase have to find a new leader. wanted to find a new leader. Caused get a new job. has sub event get fired. Effected gets fired. becuase have to find a new leader. want to news of resignation of prime minister. want to news of resignation spreads quickly. Reacted sad. isFilledBy the country is in a state of chaos. wanted to find a new leader. wanted to find a new leader. It can be becuase Turkey's economy is in freefall. consists of  unstable. 136,-0.34,The sentiment score is negative
394976632,2016-03-06 14:54:00+00:00,eng,0.8,http://www.unian.info/world/1284087-slovakia-election-anti-migrant-pm-fico-loses-majority.html,Slovakia election: Anti-migrant PM Fico loses majority,eng-1983073,unian.info,sure-information-crossing,Slovakia election: Anti-migrant PM Fico loses majority,Caused. has sub event. It can be becuase. want to. want to. isFilledBy. wanted. consists of . Effected. needed. Reacted. becuase. wanted. consists of . Reacted. Effected. isFilledBy. It can be becuase. want to. want to. Caused. becuase. wanted. wanted. needed. has sub event. 200, Slovakia's PM Fico loses the election..  vote for anti-migrant candidate.  Slovakia is a country with a lot of immigrants..  Slovakia's PM Fico loses the election.  Slovakia's PM Fico loses majority.  slovakia.  to form a new government.  anti-migrant.  is defeated.  to win the election.  defeated.  they have to form a new government.  to form a new government.  anti-migrant.  defeated.  is defeated.  slovakia.  Slovakia is a country with a lot of immigrants..  Slovakia's PM Fico loses majority.  Slovakia's PM Fico loses the election.  Slovakia's PM Fico loses the election..  they have to form a new government.  to form a new government.  to form a new government.  to win the election.  vote for anti-migrant candidate. 200,Caused Slovakia's PM Fico loses the election.. has sub event vote for anti-migrant candidate. It can be becuase Slovakia is a country with a lot of immigrants.. want to Slovakia's PM Fico loses the election. want to Slovakia's PM Fico loses majority. isFilledBy slovakia. wanted to form a new government. consists of  anti-migrant. Effected is defeated. needed to win the election. Reacted defeated. becuase they have to form a new government. wanted to form a new government. consists of  anti-migrant. Reacted defeated. Effected is defeated. isFilledBy slovakia. It can be becuase Slovakia is a country with a lot of immigrants.. want to Slovakia's PM Fico loses majority. want to Slovakia's PM Fico loses the election. Caused Slovakia's PM Fico loses the election.. becuase they have to form a new government. wanted to form a new government. wanted to form a new government. needed to win the election. has sub event vote for anti-migrant candidate. 200,Slovakia election: Anti-migrant PM Fico loses majority. Caused Slovakia's PM Fico loses the election.. has sub event vote for anti-migrant candidate. It can be becuase Slovakia is a country with a lot of immigrants.. want to Slovakia's PM Fico loses the election. want to Slovakia's PM Fico loses majority. isFilledBy slovakia. wanted to form a new government. consists of  anti-migrant. Effected is defeated. needed to win the election. Reacted defeated. becuase they have to form a new government. wanted to form a new government. consists of  anti-migrant. Reacted defeated. Effected is defeated. isFilledBy slovakia. It can be becuase Slovakia is a country with a lot of immigrants.. want to Slovakia's PM Fico loses majority. want to Slovakia's PM Fico loses the election. Caused Slovakia's PM Fico loses the election.. becuase they have to form a new government. wanted to form a new government. wanted to form a new government. needed to win the election. has sub event vote for anti-migrant candidate. 200,-0.3182,The sentiment score is negative
399823725,2016-03-14 07:52:00+00:00,eng,0.9,http://www.tribtown.com/view/story/d9009a2e81654b619b93cafc1f2e62e6/EU--REL--Vatican-Scandal,"Sparks may fly this week with the first testimony in the Vatican's controversial trial over leaks of confidential documents that revealed waste, mismanagement and greed in the Catholic Church's hierarchy",spa-618342,tribtown.com,sure-information-crossing,"Sparks may fly this week with the first testimony in the Vatican's controversial trial over leaks of confidential documents that revealed waste, mismanagement and greed in the Catholic Church's hierarchy",has sub event. It can be becuase. isFilledBy. consists of . needed. Reacted. wanted. has sub event. needed. Reacted. consists of . It can be becuase. isFilledBy. wanted. 285, get arrested.  Sighs of relief..  sizzle.  scandalous.  get ready for the trial.  nervous.  to be heard.  get arrested.  get ready for the trial.  nervous.  scandalous.  Sighs of relief..  sizzle.  to be heard. 285,has sub event get arrested. It can be becuase Sighs of relief.. isFilledBy sizzle. consists of  scandalous. needed get ready for the trial. Reacted nervous. wanted to be heard. has sub event get arrested. needed get ready for the trial. Reacted nervous. consists of  scandalous. It can be becuase Sighs of relief.. isFilledBy sizzle. wanted to be heard. 285,"Sparks may fly this week with the first testimony in the Vatican's controversial trial over leaks of confidential documents that revealed waste, mismanagement and greed in the Catholic Church's hierarchy. has sub event get arrested. It can be becuase Sighs of relief.. isFilledBy sizzle. consists of  scandalous. needed get ready for the trial. Reacted nervous. wanted to be heard. has sub event get arrested. needed get ready for the trial. Reacted nervous. consists of  scandalous. It can be becuase Sighs of relief.. isFilledBy sizzle. wanted to be heard. 285",-0.743,The sentiment score is negative
404282140,2016-03-21 07:42:00+00:00,eng,0.8,http://hosted2.ap.org/CARIE/0260ea4c3e85456b80715585ba3c7b5b/Article_2016-03-21-AS--Indonesia-China/id-d6f59b0cb42645f495770236ed98ebc7,Indonesia protests China rescue of illegal fishing vessel,eng-2020012,hosted.ap.org,sure-information-crossing,Indonesia protests China rescue of illegal fishing vessel,Caused. has sub event. It can be becuase. want to. want to. isFilledBy. wanted. consists of . Effected. Intended. needed. Reacted. becuase. wanted. consists of . Reacted. isFilledBy. has sub event. becuase. Effected. It can be becuase. want to. want to. Caused. needed. Intended. wanted. wanted. consists of . Reacted. isFilledBy. has sub event. becuase. Effected. It can be becuase. want to. want to. Caused. needed. Intended. wanted. wanted. 207, the boat is illegal.  get arrested.  Indonesia is not a member of the international community..  PersonX is arrested by the police.  PersonX is arrested by the police.  boat.  to protest.  angry.  gets arrested.  to protest.  to find out what is going on.  angry.  get arrested.  to protest.  angry.  angry.  boat.  get arrested.  get arrested.  gets arrested.  Indonesia is not a member of the international community..  PersonX is arrested by the police.  PersonX is arrested by the police.  the boat is illegal.  to find out what is going on.  to protest.  to protest.  to protest.  angry.  angry.  boat.  get arrested.  get arrested.  gets arrested.  Indonesia is not a member of the international community..  PersonX is arrested by the police.  PersonX is arrested by the police.  the boat is illegal.  to find out what is going on.  to protest.  to protest.  to protest. 207,Caused the boat is illegal. has sub event get arrested. It can be becuase Indonesia is not a member of the international community.. want to PersonX is arrested by the police. want to PersonX is arrested by the police. isFilledBy boat. wanted to protest. consists of  angry. Effected gets arrested. Intended to protest. needed to find out what is going on. Reacted angry. becuase get arrested. wanted to protest. consists of  angry. Reacted angry. isFilledBy boat. has sub event get arrested. becuase get arrested. Effected gets arrested. It can be becuase Indonesia is not a member of the international community.. want to PersonX is arrested by the police. want to PersonX is arrested by the police. Caused the boat is illegal. needed to find out what is going on. Intended to protest. wanted to protest. wanted to protest. consists of  angry. Reacted angry. isFilledBy boat. has sub event get arrested. becuase get arrested. Effected gets arrested. It can be becuase Indonesia is not a member of the international community.. want to PersonX is arrested by the police. want to PersonX is arrested by the police. Caused the boat is illegal. needed to find out what is going on. Intended to protest. wanted to protest. wanted to protest. 207,Indonesia protests China rescue of illegal fishing vessel. Caused the boat is illegal. has sub event get arrested. It can be becuase Indonesia is not a member of the international community.. want to PersonX is arrested by the police. want to PersonX is arrested by the police. isFilledBy boat. wanted to protest. consists of  angry. Effected gets arrested. Intended to protest. needed to find out what is going on. Reacted angry. becuase get arrested. wanted to protest. consists of  angry. Reacted angry. isFilledBy boat. has sub event get arrested. becuase get arrested. Effected gets arrested. It can be becuase Indonesia is not a member of the international community.. want to PersonX is arrested by the police. want to PersonX is arrested by the police. Caused the boat is illegal. needed to find out what is going on. Intended to protest. wanted to protest. wanted to protest. consists of  angry. Reacted angry. isFilledBy boat. has sub event get arrested. becuase get arrested. Effected gets arrested. It can be becuase Indonesia is not a member of the international community.. want to PersonX is arrested by the police. want to PersonX is arrested by the police. Caused the boat is illegal. needed to find out what is going on. Intended to protest. wanted to protest. wanted to protest. 207,-0.296,The sentiment score is negative
369913479,2016-01-31 01:32:00+00:00,eng,0.8,http://www.stuff.co.nz/world/europe/76426798/At-least-37-migrants-drown-trying-to-reach-Greece,At least 37 migrants drown trying to reach Greece,eng-1879052,stuff.co.nz,sure-information-crossing,At least 37 migrants drown trying to reach Greece,Caused. has sub event. want to. want to. isFilledBy. Effected. wanted. consists of . Effected. needed. Reacted. becuase. wanted. want to. want to. becuase. Caused. isFilledBy. consists of . Effected. Effected. has sub event. needed. Reacted. wanted. wanted. 118, at risk of drowning.  have to go to hospital.  at least one person died.  at least one person died.  boat.  drowns.  to get to safety.  desperate.  drowns.  make a plan to get to the destination.  sad.  at risk of drowning.  to get to safety.  at least one person died.  at least one person died.  at risk of drowning.  at risk of drowning.  boat.  desperate.  drowns.  drowns.  have to go to hospital.  make a plan to get to the destination.  sad.  to get to safety.  to get to safety. 118,Caused at risk of drowning. has sub event have to go to hospital. want to at least one person died. want to at least one person died. isFilledBy boat. Effected drowns. wanted to get to safety. consists of  desperate. Effected drowns. needed make a plan to get to the destination. Reacted sad. becuase at risk of drowning. wanted to get to safety. want to at least one person died. want to at least one person died. becuase at risk of drowning. Caused at risk of drowning. isFilledBy boat. consists of  desperate. Effected drowns. Effected drowns. has sub event have to go to hospital. needed make a plan to get to the destination. Reacted sad. wanted to get to safety. wanted to get to safety. 118,At least 37 migrants drown trying to reach Greece. Caused at risk of drowning. has sub event have to go to hospital. want to at least one person died. want to at least one person died. isFilledBy boat. Effected drowns. wanted to get to safety. consists of  desperate. Effected drowns. needed make a plan to get to the destination. Reacted sad. becuase at risk of drowning. wanted to get to safety. want to at least one person died. want to at least one person died. becuase at risk of drowning. Caused at risk of drowning. isFilledBy boat. consists of  desperate. Effected drowns. Effected drowns. has sub event have to go to hospital. needed make a plan to get to the destination. Reacted sad. wanted to get to safety. wanted to get to safety. 118,-0.5574,The sentiment score is negative
356063912,2016-01-07 05:11:00+00:00,eng,0.8,http://www.thefrontierpost.com/article/366532/,Iran warns Saudi to stop 'adding fuel to fire',eng-1828459,thefrontierpost.com,sure-information-crossing,Iran warns Saudi to stop 'adding fuel to fire',Caused. has sub event. It can be becuase. want to. want to. isFilledBy. wanted. consists of . Effected. Intended. needed. Reacted. becuase. wanted. Reacted. consists of . isFilledBy. want to. Effected. It can be becuase. Caused. want to. becuase. wanted. needed. wanted. has sub event. Intended. Reacted. consists of . isFilledBy. want to. Effected. It can be becuase. Caused. want to. becuase. wanted. needed. wanted. has sub event. Intended. Reacted. consists of . isFilledBy. want to. Effected. It can be becuase. Caused. want to. becuase. wanted. needed. wanted. has sub event. Intended. 223, they are not in control of the situation.  to stop adding fuel to fire.  Iran is not a fan of Saudi..  they get arrested.  get out of the way.  fire.  to get away from the situation.  angry.  gets yelled at.  to stop the war.  to make a statement.  angry.  they have a right to defend themselves.  to make sure they don't do it again.  angry.  angry.  fire.  get out of the way.  gets yelled at.  Iran is not a fan of Saudi..  they are not in control of the situation.  they get arrested.  they have a right to defend themselves.  to get away from the situation.  to make a statement.  to make sure they don't do it again.  to stop adding fuel to fire.  to stop the war.  angry.  angry.  fire.  get out of the way.  gets yelled at.  Iran is not a fan of Saudi..  they are not in control of the situation.  they get arrested.  they have a right to defend themselves.  to get away from the situation.  to make a statement.  to make sure they don't do it again.  to stop adding fuel to fire.  to stop the war.  angry.  angry.  fire.  get out of the way.  gets yelled at.  Iran is not a fan of Saudi..  they are not in control of the situation.  they get arrested.  they have a right to defend themselves.  to get away from the situation.  to make a statement.  to make sure they don't do it again.  to stop adding fuel to fire.  to stop the war. 223,Caused they are not in control of the situation. has sub event to stop adding fuel to fire. It can be becuase Iran is not a fan of Saudi.. want to they get arrested. want to get out of the way. isFilledBy fire. wanted to get away from the situation. consists of  angry. Effected gets yelled at. Intended to stop the war. needed to make a statement. Reacted angry. becuase they have a right to defend themselves. wanted to make sure they don't do it again. Reacted angry. consists of  angry. isFilledBy fire. want to get out of the way. Effected gets yelled at. It can be becuase Iran is not a fan of Saudi.. Caused they are not in control of the situation. want to they get arrested. becuase they have a right to defend themselves. wanted to get away from the situation. needed to make a statement. wanted to make sure they don't do it again. has sub event to stop adding fuel to fire. Intended to stop the war. Reacted angry. consists of  angry. isFilledBy fire. want to get out of the way. Effected gets yelled at. It can be becuase Iran is not a fan of Saudi.. Caused they are not in control of the situation. want to they get arrested. becuase they have a right to defend themselves. wanted to get away from the situation. needed to make a statement. wanted to make sure they don't do it again. has sub event to stop adding fuel to fire. Intended to stop the war. Reacted angry. consists of  angry. isFilledBy fire. want to get out of the way. Effected gets yelled at. It can be becuase Iran is not a fan of Saudi.. Caused they are not in control of the situation. want to they get arrested. becuase they have a right to defend themselves. wanted to get away from the situation. needed to make a statement. wanted to make sure they don't do it again. has sub event to stop adding fuel to fire. Intended to stop the war. 223,Iran warns Saudi to stop 'adding fuel to fire'. Caused they are not in control of the situation. has sub event to stop adding fuel to fire. It can be becuase Iran is not a fan of Saudi.. want to they get arrested. want to get out of the way. isFilledBy fire. wanted to get away from the situation. consists of  angry. Effected gets yelled at. Intended to stop the war. needed to make a statement. Reacted angry. becuase they have a right to defend themselves. wanted to make sure they don't do it again. Reacted angry. consists of  angry. isFilledBy fire. want to get out of the way. Effected gets yelled at. It can be becuase Iran is not a fan of Saudi.. Caused they are not in control of the situation. want to they get arrested. becuase they have a right to defend themselves. wanted to get away from the situation. needed to make a statement. wanted to make sure they don't do it again. has sub event to stop adding fuel to fire. Intended to stop the war. Reacted angry. consists of  angry. isFilledBy fire. want to get out of the way. Effected gets yelled at. It can be becuase Iran is not a fan of Saudi.. Caused they are not in control of the situation. want to they get arrested. becuase they have a right to defend themselves. wanted to get away from the situation. needed to make a statement. wanted to make sure they don't do it again. has sub event to stop adding fuel to fire. Intended to stop the war. Reacted angry. consists of  angry. isFilledBy fire. want to get out of the way. Effected gets yelled at. It can be becuase Iran is not a fan of Saudi.. Caused they are not in control of the situation. want to they get arrested. becuase they have a right to defend themselves. wanted to get away from the situation. needed to make a statement. wanted to make sure they don't do it again. has sub event to stop adding fuel to fire. Intended to stop the war. 223,-0.6124,The sentiment score is negative
