id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
456542620,2016-06-13 18:25:00+00:00,eng,0.4,http://en.rfi.fr/sports/20160613-british-marseille-hooligans-jailed-russians-still-free,"British Marseille hooligans jailed, Russians still free - Sports - RFI",eng-2226895,en.rfi.fr,sure-not-crossing,"British Marseille hooligans jailed, Russians still free - Sports - RFI",isFilledBy. want to. want to. becuase. Effected. has sub event. Caused. Reacted. It can be becuase. Intended. wanted. wanted. needed. consists of . 2, football.  French media report on hooligans.  French media report on the case.  French media report on the case..  get arrested.  get arrested.  guilty.  guilty.  They are not guilty..  to be free.  to get revenge on the Marseille hooligans.  to get revenge on the Marseille hooligans.  to have been arrested.  violent. 2,isFilledBy football. want to French media report on hooligans. want to French media report on the case. becuase French media report on the case.. Effected get arrested. has sub event get arrested. Caused guilty. Reacted guilty. It can be becuase They are not guilty.. Intended to be free. wanted to get revenge on the Marseille hooligans. wanted to get revenge on the Marseille hooligans. needed to have been arrested. consists of  violent. 2,"British Marseille hooligans jailed, Russians still free - Sports - RFI. isFilledBy football. want to French media report on hooligans. want to French media report on the case. becuase French media report on the case.. Effected get arrested. has sub event get arrested. Caused guilty. Reacted guilty. It can be becuase They are not guilty.. Intended to be free. wanted to get revenge on the Marseille hooligans. wanted to get revenge on the Marseille hooligans. needed to have been arrested. consists of  violent. 2",-0.25,The sentiment score is negative
358452779,2016-01-12 14:28:00+00:00,eng,0.4,http://www.efe.com/efe/english/world/at-least-300-people-evacuated-from-syrian-town-of-madaya/50000262-2808939,At least 300 people evacuated from Syrian town of Madaya,eng-1838485,efe.com,sure-not-crossing,At least 300 people evacuated from Syrian town of Madaya,isFilledBy. It can be becuase. want to. want to. becuase. Caused. Effected. has sub event. Effected. Reacted. consists of . Intended. needed. wanted. wanted. 120, at least 300 people.  at least 300 people.  at least 300 people have been evacuated.  at least 300 people have been evacuated.  at least 300 people have been evacuated from the town of Madaya.  at least 300 people have been evacuated from the town of Madaya.  get out of the country.  have a better life.  people get out of the town.  relieved.  safe.  to be safe.  to get permission from the governor.  to go home.  to go home. 120,isFilledBy at least 300 people. It can be becuase at least 300 people. want to at least 300 people have been evacuated. want to at least 300 people have been evacuated. becuase at least 300 people have been evacuated from the town of Madaya. Caused at least 300 people have been evacuated from the town of Madaya. Effected get out of the country. has sub event have a better life. Effected people get out of the town. Reacted relieved. consists of  safe. Intended to be safe. needed to get permission from the governor. wanted to go home. wanted to go home. 120,At least 300 people evacuated from Syrian town of Madaya. isFilledBy at least 300 people. It can be becuase at least 300 people. want to at least 300 people have been evacuated. want to at least 300 people have been evacuated. becuase at least 300 people have been evacuated from the town of Madaya. Caused at least 300 people have been evacuated from the town of Madaya. Effected get out of the country. has sub event have a better life. Effected people get out of the town. Reacted relieved. consists of  safe. Intended to be safe. needed to get permission from the governor. wanted to go home. wanted to go home. 120,0,The sentiment score is neutral
385711668,2016-02-22 04:15:00+00:00,eng,0.4,http://www.laht.com/article.asp?CategoryId=12395&ArticleId=2406119,"Cameron Says Leaving EU Would Give UK ""Illusion of Sovereignty""",eng-1947587,laht.com,sure-not-crossing,"Cameron Says Leaving EU Would Give UK ""Illusion of Sovereignty""",becuase. has sub event. Reacted. consists of . want to. want to. isFilledBy. It can be becuase. Caused. Intended. needed. wanted. 0, Cries about losing his job..  get a new job.  happy.  independent.  PersonX asks why they want to leave the union..  PersonX gets a job in the UK..  the flag of the country.  The UK is not in the same country as the EU..  they want to be in control.  to be in control.  to be in power.  to make sure the country stays in the union. 0,becuase Cries about losing his job.. has sub event get a new job. Reacted happy. consists of  independent. want to PersonX asks why they want to leave the union.. want to PersonX gets a job in the UK.. isFilledBy the flag of the country. It can be becuase The UK is not in the same country as the EU.. Caused they want to be in control. Intended to be in control. needed to be in power. wanted to make sure the country stays in the union. 0,"Cameron Says Leaving EU Would Give UK ""Illusion of Sovereignty"". becuase Cries about losing his job.. has sub event get a new job. Reacted happy. consists of  independent. want to PersonX asks why they want to leave the union.. want to PersonX gets a job in the UK.. isFilledBy the flag of the country. It can be becuase The UK is not in the same country as the EU.. Caused they want to be in control. Intended to be in control. needed to be in power. wanted to make sure the country stays in the union. 0",0,The sentiment score is neutral
365320692,2016-01-25 01:01:00+00:00,eng,0.3,http://www.koreaherald.com/view.php?ud=20160125000262,Kerry to press China to use more leverage on N. Korea,eng-1869144,koreaherald.com,sure-not-crossing,Kerry to press China to use more leverage on N. Korea,isFilledBy. Effected. want to. want to. consists of . Reacted. It can be becuase. Caused. needed. wanted. wanted. Intended. becuase. has sub event. 158, China to help in the war.  gets yelled at.  PersonX gets arrested by the police..  PersonY calls PersonY to tell them what to do..  powerful.  powerful.  The Chinese are not listening to them..  they want them to do what they say they are going to do.  to be in contact with the Chinese government.  to get a response from China.  to get a response from China.  to make a point.  to press China to use more leverage on N. Korea.  to press China to use more leverage on N. Korea. 158,isFilledBy China to help in the war. Effected gets yelled at. want to PersonX gets arrested by the police.. want to PersonY calls PersonY to tell them what to do.. consists of  powerful. Reacted powerful. It can be becuase The Chinese are not listening to them.. Caused they want them to do what they say they are going to do. needed to be in contact with the Chinese government. wanted to get a response from China. wanted to get a response from China. Intended to make a point. becuase to press China to use more leverage on N. Korea. has sub event to press China to use more leverage on N. Korea. 158,Kerry to press China to use more leverage on N. Korea. isFilledBy China to help in the war. Effected gets yelled at. want to PersonX gets arrested by the police.. want to PersonY calls PersonY to tell them what to do.. consists of  powerful. Reacted powerful. It can be becuase The Chinese are not listening to them.. Caused they want them to do what they say they are going to do. needed to be in contact with the Chinese government. wanted to get a response from China. wanted to get a response from China. Intended to make a point. becuase to press China to use more leverage on N. Korea. has sub event to press China to use more leverage on N. Korea. 158,0,The sentiment score is neutral
395886954,2016-03-08 01:36:00+00:00,eng,0.4,http://english.chosun.com/site/data/html_dir/2016/03/08/2016030801046.html,Seoul Set to Impose Separate Sanctions against N.Korea,eng-1985297,english.chosun.com,sure-not-crossing,Seoul Set to Impose Separate Sanctions against N.Korea,Reacted. It can be becuase. becuase. want to. Caused. consists of . has sub event. Effected. want to. isFilledBy. wanted. needed. wanted. Intended. 172, angry.  PersonX is not in charge of the sanctions..  PersonY is arrested..  PersonY is arrested..  PersonY to be punished..  powerful.  Seeks to punish the other country..  Seeks to punish..  Seoul to Impose Separate Sanctions against N.Korea.  Seoul to Impose Separate Sanctions against N.Korea.  to get away from the situation.  to make a decision.  to punish the country.  to punish the other country. 172,Reacted angry. It can be becuase PersonX is not in charge of the sanctions.. becuase PersonY is arrested.. want to PersonY is arrested.. Caused PersonY to be punished.. consists of  powerful. has sub event Seeks to punish the other country.. Effected Seeks to punish.. want to Seoul to Impose Separate Sanctions against N.Korea. isFilledBy Seoul to Impose Separate Sanctions against N.Korea. wanted to get away from the situation. needed to make a decision. wanted to punish the country. Intended to punish the other country. 172,Seoul Set to Impose Separate Sanctions against N.Korea. Reacted angry. It can be becuase PersonX is not in charge of the sanctions.. becuase PersonY is arrested.. want to PersonY is arrested.. Caused PersonY to be punished.. consists of  powerful. has sub event Seeks to punish the other country.. Effected Seeks to punish.. want to Seoul to Impose Separate Sanctions against N.Korea. isFilledBy Seoul to Impose Separate Sanctions against N.Korea. wanted to get away from the situation. needed to make a decision. wanted to punish the country. Intended to punish the other country. 172,-0.296,The sentiment score is negative
437699583,2016-05-12 23:00:00+00:00,eng,0.4,http://english.chosun.com/site/data/html_dir/2016/05/13/2016051300585.html,Brazil's Suspended Rousseff Vows to Fight Impeachment Vote by Senate,eng-2143154,english.chosun.com,sure-not-crossing,Brazil's Suspended Rousseff Vows to Fight Impeachment Vote by Senate,consists of . Reacted. It can be becuase. has sub event. becuase. Effected. want to. isFilledBy. Caused. needed. Intended. wanted. wanted. 93, angry.  angry.  Brazil's Suspended President.  get arrested.  get out of jail.  gets arrested.  PersonX is arrested by the police.  the president to be impeached.  the president to be impeached.  to be in power.  to win the case.  to win the case.  to win the case. 93,consists of  angry. Reacted angry. It can be becuase Brazil's Suspended President. has sub event get arrested. becuase get out of jail. Effected gets arrested. want to PersonX is arrested by the police. isFilledBy the president to be impeached. Caused the president to be impeached. needed to be in power. Intended to win the case. wanted to win the case. wanted to win the case. 93,Brazil's Suspended Rousseff Vows to Fight Impeachment Vote by Senate. consists of  angry. Reacted angry. It can be becuase Brazil's Suspended President. has sub event get arrested. becuase get out of jail. Effected gets arrested. want to PersonX is arrested by the police. isFilledBy the president to be impeached. Caused the president to be impeached. needed to be in power. Intended to win the case. wanted to win the case. wanted to win the case. 93,-0.6908,The sentiment score is negative
416709043,2016-04-11 09:52:00+00:00,eng,0.4,http://world.kbs.co.kr/english/news/news_In_detail.htm?No=118251,China Confirms Mass Defection of 13 N. Korerans,eng-2067499,world.kbs.co.kr,sure-not-crossing,China Confirms Mass Defection of 13 N. Korerans,Reacted. It can be becuase. Caused. isFilledBy. consists of . want to. want to. wanted. needed. wanted. has sub event. 281, angry.  China will not allow the defectors to escape..  China will not allow the defectors to stay..  Chinese army.  Confrontational.  PersonX is arrested by the police..  PersonX is arrested by the police..  to escape from the country.  to find out who is defecting.  to get rid of the defectors.  to get rid of the defectors. 281,Reacted angry. It can be becuase China will not allow the defectors to escape.. Caused China will not allow the defectors to stay.. isFilledBy Chinese army. consists of  Confrontational. want to PersonX is arrested by the police.. want to PersonX is arrested by the police.. wanted to escape from the country. needed to find out who is defecting. wanted to get rid of the defectors. has sub event to get rid of the defectors. 281,China Confirms Mass Defection of 13 N. Korerans. Reacted angry. It can be becuase China will not allow the defectors to escape.. Caused China will not allow the defectors to stay.. isFilledBy Chinese army. consists of  Confrontational. want to PersonX is arrested by the police.. want to PersonX is arrested by the police.. wanted to escape from the country. needed to find out who is defecting. wanted to get rid of the defectors. has sub event to get rid of the defectors. 281,-0.34,The sentiment score is negative
439705982,2016-05-19 00:46:00+00:00,eng,0.4,http://www.thenews.com.pk/latest/120357-Thousands-of-Afghan-Hazaras-join-power-line-protest-in-Kabul,Thousands of Afghan Hazaras join power line protest in Kabul,eng-2159463,thenews.com.pk,sure-not-crossing,Thousands of Afghan Hazaras join power line protest in Kabul,consists of . Reacted. has sub event. Effected. Effected. isFilledBy. becuase. want to. want to. Caused. It can be becuase. needed. Intended. wanted. wanted. 224, angry.  angry.  get arrested.  get arrested.  gets arrested.  power line.  thousands of people join power line protest in Kabul.  thousands of people join power line protest in Kabul.  thousands of people join power line protest in Kabul.  thousands of people join power line protest in Kabul.  thousands of people join power line protest in Kabul.  to get ready for the protest.  to get rid of the power line.  to protest against the power line.  to protest against the power line. 224,consists of  angry. Reacted angry. has sub event get arrested. Effected get arrested. Effected gets arrested. isFilledBy power line. becuase thousands of people join power line protest in Kabul. want to thousands of people join power line protest in Kabul. want to thousands of people join power line protest in Kabul. Caused thousands of people join power line protest in Kabul. It can be becuase thousands of people join power line protest in Kabul. needed to get ready for the protest. Intended to get rid of the power line. wanted to protest against the power line. wanted to protest against the power line. 224,Thousands of Afghan Hazaras join power line protest in Kabul. consists of  angry. Reacted angry. has sub event get arrested. Effected get arrested. Effected gets arrested. isFilledBy power line. becuase thousands of people join power line protest in Kabul. want to thousands of people join power line protest in Kabul. want to thousands of people join power line protest in Kabul. Caused thousands of people join power line protest in Kabul. It can be becuase thousands of people join power line protest in Kabul. needed to get ready for the protest. Intended to get rid of the power line. wanted to protest against the power line. wanted to protest against the power line. 224,0.0516,The sentiment score is positive
396254012,2016-03-08 14:33:00+00:00,eng,0.4,http://www.manilatimes.net/tag-heuer-says-will-not-renew-sharapova-contract-2/249239/,TAG Heuer says will not renew Sharapova contract,eng-1988168,manilatimes.net,sure-not-crossing,TAG Heuer says will not renew Sharapova contract,consists of . isFilledBy. Reacted. want to. It can be becuase. becuase. want to. Caused. wanted. wanted. consists of . isFilledBy. Reacted. want to. It can be becuase. becuase. want to. Caused. wanted. wanted. 148, disappointed.  jewelry.  regretful.  TAG Heuer has a contract with Sharapova.  TAG Heuer has a contract with Sharapova..  TAG Heuer has a contract with tennis player.  TAG Heuer says will not renew the contract.  the contract will not be renewed.  to find someone else to sign the contract with.  to get a new contract.  disappointed.  jewelry.  regretful.  TAG Heuer has a contract with Sharapova.  TAG Heuer has a contract with Sharapova..  TAG Heuer has a contract with tennis player.  TAG Heuer says will not renew the contract.  the contract will not be renewed.  to find someone else to sign the contract with.  to get a new contract. 148,consists of  disappointed. isFilledBy jewelry. Reacted regretful. want to TAG Heuer has a contract with Sharapova. It can be becuase TAG Heuer has a contract with Sharapova.. becuase TAG Heuer has a contract with tennis player. want to TAG Heuer says will not renew the contract. Caused the contract will not be renewed. wanted to find someone else to sign the contract with. wanted to get a new contract. consists of  disappointed. isFilledBy jewelry. Reacted regretful. want to TAG Heuer has a contract with Sharapova. It can be becuase TAG Heuer has a contract with Sharapova.. becuase TAG Heuer has a contract with tennis player. want to TAG Heuer says will not renew the contract. Caused the contract will not be renewed. wanted to find someone else to sign the contract with. wanted to get a new contract. 148,TAG Heuer says will not renew Sharapova contract. consists of  disappointed. isFilledBy jewelry. Reacted regretful. want to TAG Heuer has a contract with Sharapova. It can be becuase TAG Heuer has a contract with Sharapova.. becuase TAG Heuer has a contract with tennis player. want to TAG Heuer says will not renew the contract. Caused the contract will not be renewed. wanted to find someone else to sign the contract with. wanted to get a new contract. consists of  disappointed. isFilledBy jewelry. Reacted regretful. want to TAG Heuer has a contract with Sharapova. It can be becuase TAG Heuer has a contract with Sharapova.. becuase TAG Heuer has a contract with tennis player. want to TAG Heuer says will not renew the contract. Caused the contract will not be renewed. wanted to find someone else to sign the contract with. wanted to get a new contract. 148,0,The sentiment score is neutral
376293814,2016-02-08 18:32:00+00:00,eng,0.4,http://www.modernghana.com/music/35562/beyonce-homage-to-black-panthers-during-super-bowl-performan.html,BEYONCE HOMAGE TO BLACK PANTHERS During Super Bowl Performance,eng-1916442,modernghana.com,sure-not-crossing,BEYONCE HOMAGE TO BLACK PANTHERS During Super Bowl Performance,want to. becuase. It can be becuase. want to. Effected. has sub event. isFilledBy. consists of . Caused. Reacted. needed. wanted. Intended. wanted. 252, BEYONCE HOMAGE TO BLACK PANTHERS.  BEYONCE HOMAGE TO BLACK PANTHERS.  BEYONCE HOMAGE TO BLACK PANTHERS.  BEYONCE HOMAGE TO BLACK PANTHERS.  get a standing ovation.  get a standing ovation.  music.  proud.  proud.  proud.  to be a part of the team.  to make a statement.  to show support.  to thank him. 252,want to BEYONCE HOMAGE TO BLACK PANTHERS. becuase BEYONCE HOMAGE TO BLACK PANTHERS. It can be becuase BEYONCE HOMAGE TO BLACK PANTHERS. want to BEYONCE HOMAGE TO BLACK PANTHERS. Effected get a standing ovation. has sub event get a standing ovation. isFilledBy music. consists of  proud. Caused proud. Reacted proud. needed to be a part of the team. wanted to make a statement. Intended to show support. wanted to thank him. 252,BEYONCE HOMAGE TO BLACK PANTHERS During Super Bowl Performance. want to BEYONCE HOMAGE TO BLACK PANTHERS. becuase BEYONCE HOMAGE TO BLACK PANTHERS. It can be becuase BEYONCE HOMAGE TO BLACK PANTHERS. want to BEYONCE HOMAGE TO BLACK PANTHERS. Effected get a standing ovation. has sub event get a standing ovation. isFilledBy music. consists of  proud. Caused proud. Reacted proud. needed to be a part of the team. wanted to make a statement. Intended to show support. wanted to thank him. 252,0.5994,The sentiment score is positive
